Position,"Team
Team","Pl
Played","W
Won","D
Drawn","L
Lost","F
Goals For","A
Goals Against","GD
Goal Difference","Pts
Points"
1,Barcelona,24,16,3,5,65,25,+40,51
2,Real Madrid,24,15,6,3,52,23,+29,51
3,Atletico Madrid,24,14,8,2,39,16,+23,50
4,Athletic Bilbao,24,12,9,3,37,21,+16,45
5,Villarreal,24,11,8,5,47,35,+12,41
6,Rayo Vallecano,24,9,8,7,27,25,+2,35
7,Real Mallorca,24,10,4,10,23,30,-7,34
8,Real Betis,24,8,8,8,30,31,-1,32
9,Osasuna,24,7,11,6,29,33,-4,32
10,Girona,24,9,4,11,32,35,-3,31
11,Real Sociedad,24,9,4,11,20,23,-3,31
12,Sevilla,24,8,7,9,29,34,-5,31
13,Getafe,24,7,9,8,20,18,+2,30
14,Celta Vigo,24,8,5,11,35,38,-3,29
15,Espanyol,24,6,6,12,23,36,-13,24
16,Leganes,24,5,9,10,22,35,-13,24
17,Las Palmas,24,6,5,13,29,41,-12,23
18,Valencia,24,5,8,11,25,38,-13,23
19,Alaves,24,5,7,12,28,38,-10,22
20,Real Valladolid,24,4,3,17,15,52,-37,15
